Filename,Checkout_No,Type ,Sensor_Make,Sensor_Model,Sensor_SN,Limits,Dimensions,Site,,
006-08-18-03,115,Anemometer,Gill,Wind Observer II,549,0 - 60,m/s,missing,,
006-09-01-05,116,Current Sensor,Aanderaa,DCS 3900R,222,0 - 300,cm/sec,V,,
006-09-01-05,116,Air Temperature,R.M. Young,41342VC,5426,°¿50,deg. C,V,,
006-09-01-05,116,Compass,KVH Industries,C100LP,98020023,0 - 360 ,deg. Mag.,V,,
006-09-01-05,116,Barometer,Vaisala,PTB100A,V1230007,600 - 1060,hPa,V,,
006-09-01-05,116,Anemometer,Gill,Wind Observer II,983,0 - 60,m/s,V,,
006-09-19-06,117,Air Temperature,R.M. Young,41342VC,5426,°¿ 50,°„C,V,,
006-09-19-06,117,Current Sensor,Aanderaa,DCS 3820R,506,0 - 300,cm/sec,V,,
006-09-19-06,117,Barometer,Vaisala,PTB100A,V1230007,600 - 1060,hPa,V,,
006-09-19-06,117,Anemometer,Gill,Wind Observer II,000549,N/A,N/A,V,,
006-09-19-06,117,Compass,KVH Industries,C100LP,98020023,N/A,N/A,V,,
007-01-18-01,118,Compass,missing,missing,SE-2502-0225,missing,missing,V,,
007-01-18-01,118,ADCP Sensor,Teledyne RD Instruments,300Hz,003,N/A,N/A,V,,
008-04-14-11,162,Temperature/Humidity,Rotronic, MP101A ,60308213,0-100,%,B,,
008-04-14-11,162,Current Sensor ,Aanderaa, DCS 4100R ,209,0-350,cm/s,B,,
008-04-14-11,162,Temperature/Humidity,Rotronic, MP101A ,60308213,(-)30 - (+)70,deg. C,B,,
008-04-14-11,162,Barometer,Vaisala,PTB210,F1610015,500 - 1100,hPa,B,,
008-04-14-11,162,Anemometer,Gill,Windsonic,41839,0-60,m/s,B,,
008-04-14-11,162,Conductivity,Aanderaa,3919,348,0 - 75,mmho/cm,B,,
008-04-14-11,162,Argos,Seimac, Wildcat ,67705,N/A,N/A,B,,
008-04-14-11,162,Modem,Qualcomm, GSP 1620 ,74024191,N/A,N/A,B,,
008-04-19-07,122,Temperature/Humidity,Rotronic,MP101A,123721,0 - 100,%,B,,
008-04-19-07,122,Current Sensor,Aanderaa,DCS 3900R,363,0 - 300,cm/sec,B,,
008-04-19-07,122,Compass,Honeywell,HMR3300,N/A,0 - 360 ,deg. Mag.,B,,
008-04-19-07,122,Temperature/Humidity,Rotronic,MP101A,123721,(-)30 - (+)70,degree,B,,
008-04-19-07,122,Barometer,Vaisala,PTB210,A3510001,500 - 1100,hPa,B,,
008-04-19-07,122,Anemometer,Gill,Windsonic,041839,0 - 60,m/s,B,,
008-04-19-07,122,Conductivity,Aanderaa,3919B,165,0 - 75,mmho/cm,B,,
008-04-19-07,122,Argos,Seimac,Wildcat,67705,N/A,N/A,B,,
008-04-19-07,122,GPS,Garmin,16,N/A,N/A,N/A,B,,
008-04-19-07,122,Modem,Qualcomm,GSP 1620,74024191,N/A,N/A,B,,
008-04-26-06,120,Temperature/Humidity,Rotronic,MP101A,113719,0 - 100,%,B,,
008-04-26-06,120,Current Sensor,Aanderaa,DCS 3900R,363,0 - 300,cm/sec,B,,
008-04-26-06,120,Compass,Honeywell,HMR3300,N/A,0 - 360 ,deg. Mag.,B,,
008-04-26-06,120,Temperature/Humidity,Rotronic,MP101A,113719,(-)30 - (+)70,degree,B,,
008-04-26-06,120,Barometer,Vaisala,PTB210,A3510001,500 - 1100,hPa,B,,
008-04-26-06,120,Anemometer,Gill,Windsonic,041839,0 - 60,m/s,B,,
008-04-26-06,120,Conductivity,Aanderaa,3919B,165,0 - 75,mmho/cm,B,,
008-04-26-06,120,Argos,Seimac,Wildcat,67705,N/A,N/A,B,,
008-04-26-06,120,GPS,Garmin,16,N/A,N/A,N/A,B,,
008-04-26-06,120,Modem,Qualcomm,GSP 1620,74024191,N/A,N/A,B,,
008-05-06-10,125,Temperature/Humidity,Rotronic,MP101A,60308213,0 - 100,%,B,,
008-05-06-10,125,Current Sensor,Aanderaa,DCS 4100R,209,0-300,cm/s,B,,
008-05-06-10,125,Compass,Honeywell,HMR3300,N/A,0 - 360 ,deg. Mag.,B,,
008-05-06-10,125,Temperature/Humidity,Rotronic,MP101A,60308213,(-)30 - (+)70,degree,B,,
008-05-06-10,125,Barometer,Vaisala,PTB210,F1610015,500 - 1100,hPa,B,,
008-05-06-10,125,Anemometer,Gill,Windsonic,041839,0 - 60,m/s,B,,
008-05-06-10,125,Conductivity,Aanderaa,3919B,348,0 - 75,mmho/cm,B,,
008-05-06-10,125,Argos,Seimac,Wildcat,67705,N/A,N/A,B,,
008-05-06-10,125,GPS,Garmin,16,N/A,N/A,N/A,B,,
008-05-06-10,125,Modem,Qualcomm,GSP 1620,74024191,N/A,N/A,B,,
