Deployment_Date,File_Number,checkout,Site,Seapac_SN, Current_Sensor_SN,"Sensor, norman",Modem_Type,Deployment_Ship,Deployment_Date,,Dep-date norman,"Dep-time,norman",Recovery_Date,,Recovery date,Recovery time,Recovery_Ship,Deployed_Days,,inclination,Comments,,,,,,,,,,,,
2002-07-26,80085-07-17-02,76,W,80085,173,DCS/173,Motorola,R/V Longhorn,7/26/2002,,7/26/2002,,10/25/2002,,10/25/2002,,R/V Longhorn,91,,,,,,,,,,,,,,,
2002-09-11,,,F,,,DCS3900,,,9/11/2002,0:00:00,9/11/2002,0:00:00,12/31/2002,0:00:00,12/31/2002,0:00:00,,,3.83,3.83,-,-,28.836,94.2355,3.83,,-,,,,,,119
2002-09-12,001-08-14-02,88,K,System 1,96,DCS/96,Globalstar,R/V Longhorn,9/12/2002,,9/12/2002,,1/30/2003,,1/30/2003,,R/V Gyre,140,,,,,,,,,,,,,,,
2002-09-12,004-08-13-02,104,J,System 4,45,DCS/45,Globalstar,R/V Longhorn,9/12/2002,,9/12/2002,,1/30/2003,,1/30/2003,,R/V Gyre,140,,,,,,,,,,,,,,,
2002-09-13,02-2002-09-13,190,B,System 2,176,DCS176,Globalstar,R/V Longhorn,9/13/2002,,9/13/2002,0:00:00,1/29/2003,,1/29/2003,0:00:00,R/V Gyre,138,,4.23,Replaced_DCS_sensor_44_with_176,,,,,,,,,,,,
2002-11-07,40018-09-24-02,34,W,40018,178,DCS/178,Motorola,R/V Gyre,11/7/2002,,11/7/2002,,11/21/2002,,11/21/2002,,R/V Gyre,14,,,,,,,,,,,,,,,
2002-11-09,005-08-14-02,109,N,System 5,109,DCS109,Globalstar,R/V Gyre,11/9/2002,,11/9/2002,0:00:00,1/29/2003,,11/18/2002,14:00:00,R/V Gyre,81,,3.98,Data_ceases_after_11/18/2002,,,,,,,,,,,,
2002-11-09,50039-09-27-02,57,F,50039,17,DCS/17,Motorola,R/V Gyre,11/9/2002,,11/9/2002,,7/20/2003,,7/20/2003,,R/V Longhorn,253,,,,,,,,,,,,,,,
2002-11-10,80086-10-15-02,70,R,80086,16,DCS3900,Motorola,R/V Gyre,11/10/2002,,11/10/2002,0:00:00,7/19/2003,,7/21/2003,21:00:00,R/V Longhorn,251,,3.43,-,,,,,,,,,,,,
2002-11-21,0109-11-01-02,2,W,109,31,DCS/31,Motorola,R/V Longhorn,11/21/2002,,11/21/2002,,1/31/2003,,1/31/2003,,R/V Gyre,71,,,,,,,,,,,,,,,
2002-11-21,80085-11-15-02,77,D,80085,173,DCS-173,Motorola,R/V Longhorn,11/21/2002,,11/21/2002,0:00:00,1/31/2003,,1/31/2003,0:00:00,R/V Gyre,71,,5.33,-,,,,,,,,,,,,
2003-01-29,015-2003-02-19,319,V,System 15,70,DCS70,Globalstar,R/V Gyre,1/29/2003,,1/29/2003,0:00:00,7/14/2003,,7/14/2003,0:00:00,missing,166,,4.75,-,,,,,,,,,,,,
2003-01-29,016-12-12-02,142,N,System 16,94,DCS/094,Globalstar,R/V Gyre,1/29/2003,,1/29/2003,,10/27/2003,,10/27/2003,,R/V Gyre,271,,,,,,,,,,,,,,,
2003-01-30,,,N,,94,DCS094,,,1/30/2003,4:00:00,1/30/2003,4:00:00,8/3/2003,20:30:00,8/3/2003,20:30:00,,,3.98,3.98,Lost_during_Hurricane_Claudette._Data_ends_07/14/2,Lost_during_Hurricane_Claudette._Data_ends_07/14/2,27.8892,94.03667,3.98,,Lost_during_Hurricane_Claudette._Data_ends_07/14/2,,,,,,189
