Deployment date,,,,,Sensor,,,Deployment date,Deployment time,Recovery date,Recovery time,,,inclination,Comments,lat,lon,inclination,,Comments,,,,,,
4/25/1999,02-1999-04-25,182,B,System 2,B-1433,Sat,R/V Gyre,4/25/1999,,8/14/1999,,R/V Gyre,111,,,,,,,,,,,,,
4/26/1999,,,B,,B-1433,,,4/26/1999,0:00:00,8/15/1999,21:00:00,,,4.43,-,28.98283,94.9162,4.43,,-,,,,,,27
4/26/1999,,,F,,B-1529,,,4/26/1999,0:00:00,8/16/1999,4:00:00,,,4.05,-,28.836,94.2355,4.05,,-,,,,,,110
4/26/1999,,,S,,B-1523,,,4/26/1999,0:00:00,6/8/1999,4:00:00,,,3.22,-,28.43642,92.81115,3.22,,-,,,,,,236
6/7/1999,40018-1999-06-07,306,S,40018,B-1531,Motorola,R/V Longhorn,6/7/1999,,12/14/1999,,R/V Longhorn,190,,,,,,,,,,,,,
6/8/1999,,,S,,B-1531,,,6/8/1999,4:00:00,12/14/1999,20:00:00,,,3.22,Recovered_on_the_beach_south_of_Corpus_Christi.,28.43642,92.81115,3.22,,Recovered_on_the_beach_south_of_Corpus_Christi.,,,,,,237
8/14/1999,03-1999-08-14,189,B,System 3,B-1558,Sat,R/V Gyre,8/14/1999,,2/20/2000,,R/V Gyre,190,,,,,,,,,,,,,
8/14/1999,50040-1999-08-14,238,F,50040,B-1560,Motorola,R/V Gyre,8/14/1999,,12/1/1999,,R/V Gyre, ,,,,,,,,,,,,,
8/15/1999,,,P,,Unknown,,,8/15/1999,0:00:00,2/19/2000,16:30:00,,,3.12,-,29.1662,92.73652,3.12,,-,,,,,,204
8/15/1999,,,R,,B-1559,,,8/15/1999,0:00:00,2/19/2000,9:30:00,,,3.65,Sensor_failed_during_postcruise_calibration_test._,29.64728,93.63947,3.65,,Sensor_failed_during_postcruise_calibration_test._,,,,,,207
