Deployment_Date,File_Number,checkout,Site,Seapac_SN, Current_Sensor_SN,Modem_Type,Deployment_Ship,Deployment_Date,,Recovery_Date,,Recovery_Ship,Deployed_Days,,,,,,,,,,,,,
7/20/2000,40018-2000-07-20,305,S,40018,B-1531,Motorola,R/V Longhorn,7/20/2000,,12/27/2000,,R/V Longhorn,160,,,,,,,,,,,,,
9/7/2000,,,S,,B-1529,,,9/7/2000,13:00:00,12/19/2000,0:00:00,,,3.1,Went_adrift_on_12/17/2000.,28.43642,92.81115,3.1,,Went_adrift_on_12/17/2000.,,,,,,241
9/7/2000,80086-2000-09-07,303,S,80086,B-1529,Motorola,R/V Longhorn,9/7/2000,,12/19/2000,,Coast Guard,103,,,,,,,,,,,,,
9/7/2000,40014-2000-09-07,290,R,40014,B-1557,Motorola,R/V Longhorn,9/7/2000,,9/25/2000,,R/V Gyre,18,,,,,,,,,,,,,
9/8/2000,,,R,,B-1557,,,9/8/2000,13:30:00,9/25/2000,14:30:00,,,3.53,Lost_communications._Broken_cellular_antenna.,29.64728,93.63947,3.53,,Lost_communications._Broken_cellular_antenna.,,,,,,210
10/21/2000,02-2000-10-21,257,J,System 2,B-1433,Sat,R/V Longhorn,10/21/2000,,4/26/2001,,R/V Longhorn,187,,,,,,,,,,,,,
11/20/2000,,,B,,B-1558,,,11/20/2000,20:00:00,5/2/2001,0:00:00,,,4.33,-,28.98283,94.9162,4.33,,-,,,,,,31
11/21/2000,03-2000-11-21,188,B,System 3,B-1558,Sat,R/V Gyre,11/21/2000,,5/2/2001,,R/V Longhorn,162,,,,,,,,,,,,,
11/21/2000,40014-2000-11-21,237,F,40014,B-1557,Motorola,R/V Gyre,11/21/2000,,3/26/2001,,R/V Gyre,125,,,,,,,,,,,,,
11/22/2000,40016-2000-11-22,293,R,40016,B-1561,Motorola,R/V Gyre,11/22/2000,,3/26/2001,,R/V Gyre,124,,,,,,,,,,,,,
11/30/2000,80085-2000-11-30,219,D,80085,B-1528,Motorola,R/V Longhorn,11/30/2000,,4/4/2001,,Truck,125,,,,,,,,,,,,,
2/19/2001,06-2001-02-19,310,T,System 6,1500,Sat,R/V Pelican,2/19/2001,,5/23/2001,,R/V Pelican,93,,,,,,,,,,,,,
2/19/2001,05-2001-02-19,313,U,System 5,ADCP-1033,Sat,R/V Pelican,2/19/2001,,3/24/2001,,R/V Gyre,33,,,,,,,,,,,,,
3/21/2001,80086-2001-03-21,240,F,80086,DCS/16,Motorola,R/V Gyre,3/21/2001,,6/19/2001,,R/V Gyre,90,,,,,,,,,,,,,
3/21/2001,07-2001-03-21,314,V,System 7,ADCP-003,Sat,R/V Gyre,3/21/2001,,9/23/2001,,R/V Gyre,186,,,,,,,,,,,,,
3/26/2001,50039-2001-03-26,296,R,50039,DCS/17,Motorola,R/V Gyre,3/26/2001,,9/23/2001,,R/V Gyre,181,,,,,,,,,,,,,
3/27/2001,,,R,,DCS3900,,,3/27/2001,5:00:00,9/23/2001,0:00:00,,,3.43,-,29.64728,93.63947,3.43,,-,,,,,,212
3/27/2001,40018-2001-03-27,307,S,40018,DCS/20,Motorola,R/V Gyre,3/27/2001,,7/26/2001,,R/V Longhorn,121,,,,,,,,,,,,,
3/28/2001,,,F,,DCS3900,,,3/28/2001,13:00:00,6/19/2001,0:00:00,,,3.83,Stopped_communicating._Data_ceases_after_5/18/2001,28.836,94.2355,3.83,,Stopped_communicating._Data_ceases_after_5/18/2001,,,,,,115
4/17/2001,01-2001-04-17,268,J,System 1,,Sat,R/V Longhorn,4/17/2001,,9/25/2001,,R/V Longhorn,161,,,,,,,,,,,,,
4/26/2001,004-04-10-01,102,J,System 4,DCS,Sat,R/V Longhorn,4/26/2001,,5/10/2001,,R/V Longhorn,14,,,,,,,,,,,,,
4/27/2001,,,J,,DCS3900,,,4/27/2001,13:30:00,5/10/2001,13:30:00,,,5.48,Hit_by_ship._Data_ceases_on_4/30/2001.,26.18833,97.05067,5.48,,Hit_by_ship._Data_ceases_on_4/30/2001.,,,,,,148
5/10/2001,03-2001-05-10,265,J,System 3,DCS/45,Sat,R/V Longhorn,5/10/2001,,11/27/2001,,R/V Longhorn,201,,,,,,,,,,,,,
5/11/2001,02-2001-05-11,181,B,System 2,B-1433,Sat,R/V Longhorn,5/11/2001,,7/8/2001,,R/V Glorita,58,,,,,,,,,,,,,
5/11/2001,80085-2001-05-11,218,D,80085,B-1528,Motorola,R/V Longhorn,5/11/2001,,8/16/2001,,R/V Longhorn,97,,,,,,,,,,,,,
5/12/2001,,,D,,B-1528,,,5/12/2001,1:00:00,8/16/2001,0:00:00,,,5.33,Recovered_6_nmi_off_location,27.93295,96.8076,5.33,,Recovered_6_nmi_off_location,,,,,,81
5/23/2001,06-2001-05-23,309,T,System 6,1500,Sat,R/V Pelican,5/23/2001,,7/26/2001,,Tommy Munroe,64,,,,,,,,,,,,,
5/23/2001,05-2001-05-23,312,U,System 5,ADCP-1033,Sat,R/V Pelican,5/23/2001,,7/26/2001,,Tommy Munroe,64,,,,,,,,,,,,,
7/8/2001,80086-2001-07-08,239,F,80086,DCS/16,Motorola,R/V Glorita,7/8/2001,,9/23/2001,,R/V Gyre,77,,,,,,,,,,,,,
7/9/2001,,,F,,DCS3900,,,7/9/2001,2:30:00,9/22/2001,18:00:00,,,3.83,New_top_design._Data_ceases_after_7/30/2001,28.836,94.2355,3.83,,New_top_design._Data_ceases_after_7/30/2001,,,,,,116
7/17/2001,04-2001-07-17,324,X,System 4,DCS43/ADCP,Motorola,USNS Sumner,7/17/2001,,11/26/2001,,USNS Salvor,132,,,,,,,,,,,,,
7/17/2001,40014-2001-07-17,325,Y,40014,DCS/42,Motorola,USNS Sumner,7/17/2001,,11/26/2001,,USNS Salvor,132,,,,,,,,,,,,,
7/26/2001,02-2001-07-26,198,B,System 2,DCS/44,Sat,R/V Longhorn,7/26/2001,,1/21/2002,,R/V Gyre,179,,,,,,,,,,,,,
7/27/2001,,,B,,DCS3900,,,7/27/2001,9:00:00,1/22/2002,13:00:00,,,4.23,-,28.98283,94.9162,4.23,,-,,,,,,33
8/16/2001,40016-2001-08-16,228,D,40016,DCS/72,Motorola,R/V Longhorn,8/16/2001,,12/11/2001,,R/V Longhorn,117,,,,,,,,,,,,,
9/22/2001,111-2001-09-22,244,F,111,DCS/73,Motorola,R/V Gyre,9/22/2001,,4/17/2002,,R/V Gyre,207,,,,,,,,,,,,,
9/23/2001,40018-2001-09-23,297,R,40018,DCS/20,Motorola,R/V Gyre,9/23/2001,,1/23/2002,,R/V Gyre,122,,,,,,,,,,,,,
10/6/2001,06-2001-10-06,308,T,System 6,1500,Sat,R/V Pelican,10/6/2001,,1/30/2002,,Tommy Munroe,116,,,,,,,,,,,,,
10/7/2001,05-2001-10-07,311,U,System 5,ADCP-1033,Sat,R/V Pelican,10/7/2001,,1/30/2002,,Tommy Munroe,115,,,,,,,,,,,,,
11/27/2001,01-2001-11-27,267,J,System 1,DCS/96,Sat,R/V Longhorn,11/27/2001,,5/15/2002,,R/V Longhorn,169,,,,,,,,,,,,,
11/27/2001,109-2001-11-27,321,W,109,DCS/31,Motorola,R/V Longhorn,11/27/2001,,5/15/2002,,R/V Longhorn,169,,,,,,,,,,,,,
11/28/2001,,,W,,DCS3900R,,,11/28/2001,1:00:00,1/8/2002,23:30:00,,,3.37,Wireless_communication_of_data,28.3539,96,3.37,,Wireless_communication_of_data,,,,,,259
12/11/2001,50039-2001-12-11,224,D,50039,DCS/17,Motorola,R/V Longhorn,12/11/2001,,5/15/2002,,R/V Longhorn,155,,,,,,,,,,,,,
1/22/2002,07-2002-01-22,315,V,System 7,DCS/095,Sat,R/V Gyre,1/22/2002,,4/17/2002,,missing,85,,,,,,,,,,,,,
1/22/2002,016-2002-01-22,282,N,System 16,DCS/094,Globalstar,R/V Gyre,1/22/2002,,7/12/2002,,R/V Gyre,171,,,,,,,,,,,,,
1/23/2002,02-2002-01-23,197,B,System 2,DCS/44,Sat,R/V Gyre,1/23/2002,,4/15/2002,,R/V Gyre,82,,,,,,,,,,,,,
1/23/2002,80086-2002-01-23,295,R,80086,DCS/16,Motorola,R/V Gyre,1/23/2002,,7/13/2002,,R/V Gyre,171,,,,,,,,,,,,,
1/24/2002,,,B,,DCS3900,,,1/24/2002,6:00:00,4/15/2002,0:00:00,,,4.23,-,28.98283,94.9162,4.23,,-,,,,,,34
4/15/2002,004-02-27-02,103,B,System 4,DCS/45,Globalstar,R/V Gyre,4/15/2002,,7/14/2002,,R/V Gyre,90,,,,,,,,,,,,,
4/17/2002,40016-03-21-02,40,F,40016,DCS/20,Motorola,R/V Gyre,4/17/2002,,11/9/2002,,R/V Gyre,206,,,,,,,,,,,,,
4/17/2002,015-04-12-02,141,V,System 15,DCS/70,Globalstar,R/V Gyre,4/17/2002,,1/29/2003,,R/V Gyre,287,,,,,,,,,,,,,
